N,ns,L,n_trials,n_levels,i,abs_err_3,rel_err_3,abs_err_6,rel_err_6,abs_err_9,rel_err_9
1000,50,29.999999674644798,20,11,1,0.0014741464933933912,8.72122918876343e-5,1.2732282712590859e-6,7.532572653415589e-8,1.1026166646388447e-9,6.523213725882462e-11
1000,50,29.999999674644798,20,11,2,0.022434976900768788,0.00039021760627418835,1.4289979120007956e-6,2.4854946232311722e-8,1.6066508123913081e-9,2.794491106020852e-11
1000,50,29.999999674644798,20,11,3,0.005178752470079928,0.0002647262538238552,3.6272557402128314e-6,1.8541720796954748e-7,5.165361471881624e-9,2.640417359194989e-10
1000,50,29.999999674644798,20,11,4,0.005112318200819033,0.00032016130191910296,3.552972479781147e-6,2.2250655184711226e-7,6.92452317707648e-10,4.3365148029843576e-11
1000,50,29.999999674644798,20,11,5,0.015672437245308757,0.0010222695478910638,6.062483731028578e-6,3.95438973901179e-7,1.0285365448226003e-8,6.708858183368802e-10
1000,50,29.999999674644798,20,11,6,0.005864326286618038,0.0006103764923113565,1.394182516634146e-5,1.4511065594812396e-6,1.465161503233503e-8,1.5249835962470695e-9
1000,50,29.999999674644798,20,11,7,0.006092792062950991,0.001007416812886284,2.3136798015244153e-6,3.825569472269458e-7,2.1912320846695366e-9,3.623107468996368e-10
1000,50,29.999999674644798,20,11,8,0.0016028120767543896,9.638226990321583e-5,6.235258389608589e-6,3.749462371412095e-7,4.852559243317955e-9,2.918000690747759e-10
1000,50,29.999999674644798,20,11,9,0.004753716882618164,0.00013245554528538075,1.1160670091214797e-5,3.109761643751719e-7,1.6094077182060573e-9,4.4843852119370464e-11
1000,50,29.999999674644798,20,11,10,0.00575040885060929,0.0001832718263584262,2.8398516597860635e-5,9.050918183336712e-7,4.474372872209642e-9,1.4260316255801039e-10
1000,50,29.999999674644798,20,11,11,0.00629482581656049,0.00011683734586248074,1.4087353434888428e-6,2.614733168992443e-8,1.5570904565720411e-9,2.8900929352971466e-11
1000,50,29.999999674644798,20,11,12,0.0007312205417981943,4.7355134330876964e-5,2.039823558064313e-6,1.321025779252274e-7,1.9040271581616253e-9,1.2330816311950107e-10
1000,50,29.999999674644798,20,11,13,0.0012951696679905922,5.6385721742012594e-5,5.288293870364669e-6,2.3022795702666112e-7,1.2111563307826145e-8,5.272816800870411e-10
1000,50,29.999999674644798,20,11,14,0.001445426483501322,0.0001112580072354518,2.3875258229111296e-5,1.8377369469308714e-6,2.982199376333483e-9,2.295471707325799e-10
1000,50,29.999999674644798,20,11,15,0.0028799689782772475,0.0002261802262161223,5.189435530184028e-6,4.075556754271442e-7,1.7927437312437178e-9,1.4079428832000579e-10
1000,50,29.999999674644798,20,11,16,0.002319856871146442,8.975517628037721e-5,5.671509271110153e-6,2.1943048329215292e-7,4.184339985613406e-9,1.6189195880871846e-10
1000,50,29.999999674644798,20,11,17,0.0013323265796714168,1.988423299905015e-5,3.606874670936122e-6,5.383059788010386e-8,1.575756414240459e-9,2.3517287854628298e-11
1000,50,29.999999674644798,20,11,18,0.00043975864249645724,1.939168623391673e-5,4.416338715174106e-6,1.947437671291364e-7,1.1515908227011096e-9,5.0780782333022266e-11
1000,50,29.999999674644798,20,11,19,0.0030244797572684945,0.00031394050131976377,8.363989589810217e-7,8.681807436627532e-8,5.437083672177323e-9,5.6436839084763e-10
1000,50,29.999999674644798,20,11,20,0.0030914164023769786,7.97379952381601e-5,5.381562189654687e-6,1.3880853447067274e-7,5.123084179103898e-10,1.3214151984313159e-11
2000,200,37.797631086924326,20,10,1,0.017791904593307706,0.0013673128270517577,6.714166513432929e-6,5.159855679661945e-7,4.601501402135e-9,3.536266653094805e-10
2000,200,37.797631086924326,20,10,2,0.003823135395197852,0.00026219459295064067,1.0259896351172415e-5,7.036343392102647e-7,9.382951304814924e-9,6.434925378608819e-10
2000,200,37.797631086924326,20,10,3,0.007925450282456836,8.489799154832436e-5,1.4082054590858206e-5,1.5084797822580165e-7,1.0318217391613871e-8,1.1052948434312241e-10
2000,200,37.797631086924326,20,10,4,0.0017344966566383846,7.168631574096476e-6,1.5998798744476517e-5,6.612263758959807e-8,1.6072618791440618e-8,6.64277340090364e-11
2000,200,37.797631086924326,20,10,5,0.0047845504815944295,0.0006615184929871569,3.557764591377577e-6,4.919013980403987e-7,1.2565148921339642e-10,1.7372746740951592e-11
2000,200,37.797631086924326,20,10,6,0.0054621637989669125,8.367228787455958e-5,8.494626200672428e-6,1.3012513630291907e-7,5.920028911532427e-9,9.068610564281201e-11
2000,200,37.797631086924326,20,10,7,0.018213531430205876,6.293238630891833e-5,4.307445351514616e-6,1.488331990448094e-8,2.0879326712019974e-8,7.214338743401537e-11
2000,200,37.797631086924326,20,10,8,0.006513878700317832,9.023438279089228e-5,1.5129335480423833e-5,2.095811592324832e-7,5.703299166270881e-9,7.900572052641276e-11
2000,200,37.797631086924326,20,10,9,0.0014648004223829503,3.217511570952578e-5,1.6714881219570543e-5,3.671512030531494e-7,8.00491051222707e-9,1.7583209155299542e-10
2000,200,37.797631086924326,20,10,10,0.001977968374601957,0.00024296869030414667,2.5270435912716493e-6,3.104157172565101e-7,1.2054909959147153e-8,1.4807950026490277e-9
2000,200,37.797631086924326,20,10,11,0.010733914061908933,0.0001770288443034965,3.7055259269891394e-6,6.111330579023368e-8,6.879545821902866e-10,1.134607599017635e-11
2000,200,37.797631086924326,20,10,12,0.0007161220483231645,9.064157555635529e-5,8.09225651909884e-6,1.0242595971103262e-6,3.6419400828435755e-9,4.6097056774575873e-10
2000,200,37.797631086924326,20,10,13,0.012992408766891117,0.00015967703549285187,1.05310833475869e-5,1.294272832421966e-7,2.1639721126121003e-9,2.6595272518799116e-11
2000,200,37.797631086924326,20,10,14,0.013937659116443513,0.00022506608845324145,9.917259127689704e-6,1.6014444760045752e-7,1.7358203763251367e-9,2.8030123214594796e-11
2000,200,37.797631086924326,20,10,15,0.007381452620244033,0.0004204828558815107,3.0169039213490123e-6,1.7185728094899325e-7,1.1969373048259513e-8,6.818327531684343e-10
2000,200,37.797631086924326,20,10,16,0.012453474373501194,0.0008995295613634336,7.111288645944569e-6,5.136570056326275e-7,7.4980537334568e-9,5.415935170900927e-10
2000,200,37.797631086924326,20,10,17,7.1354022672665e-6,2.9088628067376064e-7,1.2349972031699963e-6,5.034666997271334e-8,2.202675375428953e-9,8.979564479910731e-11
2000,200,37.797631086924326,20,10,18,0.00588579804871614,0.00011985460754549818,2.7322527529349827e-6,5.5637838523793825e-8,9.144336843291967e-9,1.8620939667742513e-10
2000,200,37.797631086924326,20,10,19,0.0009420237445443291,7.603988235278267e-5,1.0358401549837026e-6,8.361271568515376e-8,3.820488814199052e-9,3.0838874459830295e-10
2000,200,37.797631086924326,20,10,20,0.002962630690646506,7.16454997569477e-5,2.123614405746821e-5,5.135551179940785e-7,3.3737705962266773e-9,8.158812409359347e-11
