N,ns,L,n_levels,te_3,tu_3,te_6,tu_6,te_9,tu_9
1000,200,29.999999674644798,9,5.8476550000000005e-5,0.00028194901,0.00015133354,0.0017466144699999997,0.00040313240000000014,0.005631180819999997
2000,200,37.797631086924326,11,9.091151e-5,0.00043102344999999993,0.00022774344,0.002591190679999999,0.0005654333099999999,0.007664540430000002
4000,200,47.62203104257679,11,0.00010925681999999993,0.00046933941000000014,0.0002482226399999999,0.0027120538000000006,0.0006086679700000002,0.008372152060000002
8000,200,59.999999349289595,12,0.00014763765999999993,0.0008348089399999997,0.00034308619000000004,0.0043541314600000006,0.00083306403,0.011502589929999998
16000,200,75.59526217384865,13,0.00013868584000000002,0.0007515052100000002,0.0003290529899999999,0.0037875260100000015,0.0009180341700000002,0.012197302459999997
32000,200,95.24406208515359,14,0.00011193524999999998,0.0007160068100000002,0.00033850016999999996,0.004266683099999999,0.0009494798,0.012364424219999995
64000,200,119.99999869857918,15,0.00013023561999999996,0.0008376949200000003,0.00037454034000000013,0.004868449889999998,0.0010179027100000002,0.014605151829999994
128000,200,151.1905243476973,16,0.00014344294999999997,0.0009181625199999999,0.00040807297999999976,0.005009301559999999,0.0010454444,0.01473685399
256000,200,190.48812417030715,16,0.00016204643,0.0010406592300000002,0.00043402319000000007,0.005533889510000002,0.00113996642,0.015808340480000006
512000,200,239.99999739715835,17,0.00018172050000000002,0.0011772999899999999,0.00041916644000000004,0.005929736949999997,0.0011970090000000002,0.016427459189999997
1024000,200,302.38104869539455,18,0.00017309176999999999,0.0012074599,0.0004415305400000001,0.006400190130000002,0.0012558193499999995,0.01736120871000001
2048000,200,380.9762483406143,19,0.00019017513999999996,0.0013095541500000002,0.0005125895999999999,0.007016355439999998,0.0013536784500000002,0.018349816150000003
