N,L,time_propose,time_accept
10000,64.6330407009565,2.4275611699999952e-5,3.280739000000032e-7
12689,69.97298277103957,2.2609163400000033e-5,1.145392549999996e-5
16102,75.75556277156308,1.0798800399999946e-5,2.3417191500000027e-5
20433,82.01600916853565,1.1850220499999971e-5,2.352913400000009e-5
25929,88.79390937043094,1.3744009900000047e-5,2.3674552399999997e-5
32903,96.13165530164527,1.5948428000000083e-5,2.3752082399999942e-5
41753,104.07597382552271,1.799729940000004e-5,2.3893097499999966e-5
52983,112.67652287446205,2.091119300000007e-5,2.420412259999998e-5
67233,121.98752447904248,2.4701612399999986e-5,2.419168890000006e-5
85316,132.06814663058762,3.023547129999995e-5,2.6981461199999935e-5
108263,142.98196913512925,1.9630740000000076e-5,4.5981986100000076e-5
137382,154.7977104402667,1.51931585e-5,5.020613379999994e-5
174332,167.5895592936327,1.6908614500000046e-5,5.104884289999999e-5
221221,181.43874717437893,1.922542209999992e-5,5.0958264899999874e-5
280721,196.43229413802612,2.162681789999991e-5,5.062683659999993e-5
356224,212.6648170006915,2.459034049999994e-5,5.063208299999992e-5
452035,230.23885080073825,2.9449914199999955e-5,5.1578117999999874e-5
573615,249.2650682852571,3.449561520000011e-5,5.263392230000012e-5
727895,269.86351126159275,4.239631509999999e-5,6.115676689999991e-5
923670,292.1641114758984,2.595402839999999e-5,0.0001068791047999997
1172102,316.30767048592065,2.6077452100000077e-5,0.0001135818075999993
1487352,342.4463240160202,2.7200845899999942e-5,0.00011115133660000046
1887391,370.74492484338134,3.0477970599999908e-5,0.00011816964129999954
2395026,401.38209817807046,3.325276659999983e-5,0.00011894380909999973
3039195,434.5510230823078,3.7437966399999895e-5,0.00012236535810000002
3856620,470.4609029329341,3.965305920000009e-5,0.00011268658380000013
4893900,509.33824204370427,4.6505299300000145e-5,0.00011866933829999986
6210169,551.4283129012158,4.875366399999983e-5,0.00014108057569999958
7880462,596.9965404713541,3.15630061000001e-5,0.00017928547560000047
10000000,646.330407009565,3.475621540000008e-5,0.00018487110420000065
