N,L,ns,n_levels,time_propose,time_accept
10000,64.63304,200,3,2.4869508399999886e-5,3.1730059999999785e-7
10000,64.63304,300,3,2.5871398699999953e-5,3.1050229999999805e-7
12689,69.972984,200,4,2.3090122800000096e-5,7.92826660000006e-6
12689,69.972984,300,3,3.1255526799999996e-5,3.1991979999999797e-7
16102,75.75556,200,4,1.0489339399999988e-5,1.4999465400000012e-5
16102,75.75556,300,3,3.8381776300000124e-5,3.2651470000000014e-7
20433,82.01601,200,4,1.2348061999999989e-5,1.5062792800000022e-5
20433,82.01601,300,4,1.8547936399999936e-5,1.3567558799999997e-5
25929,88.79391,200,4,1.3678930600000014e-5,1.5185397599999995e-5
25929,88.79391,300,4,1.3603510500000049e-5,1.5230839100000057e-5
32903,96.13165,200,4,1.52928337999999e-5,1.5320051899999952e-5
32903,96.13165,300,4,1.5223235799999965e-5,1.527050529999996e-5
41753,104.07597,200,4,1.8481029799999933e-5,1.5455651999999977e-5
41753,104.07597,300,4,1.878261959999989e-5,1.5524723399999997e-5
52983,112.67652,200,4,2.121834559999997e-5,1.5422401299999987e-5
52983,112.67652,300,4,2.121590559999996e-5,1.5378181600000053e-5
67233,121.987526,200,4,2.517723089999997e-5,1.5660074899999925e-5
67233,121.987526,300,4,2.5246576700000006e-5,1.5682772699999996e-5
85316,132.06815,200,4,2.9922449600000163e-5,1.5990832300000046e-5
85316,132.06815,300,4,2.9848915800000053e-5,1.594952209999994e-5
108263,142.98196,200,5,1.9141062999999913e-5,2.924410700000008e-5
108263,142.98196,300,4,3.5693466799999966e-5,1.632189479999999e-5
137382,154.79771,200,5,1.3500889800000018e-5,3.218804579999999e-5
137382,154.79771,300,5,4.4434907800000036e-5,1.886567349999996e-5
174332,167.58955,200,5,1.4820747000000004e-5,3.310229849999997e-5
174332,167.58955,300,5,1.602868219999998e-5,3.327665910000007e-5
221221,181.43875,200,5,1.6698065499999937e-5,3.3359543500000095e-5
221221,181.43875,300,5,1.6680446800000006e-5,3.333642970000002e-5
280721,196.4323,200,5,1.8801793599999943e-5,3.3566372300000226e-5
280721,196.4323,300,5,1.825994359999997e-5,3.325041179999996e-5
356224,212.66481,200,5,2.1206458600000016e-5,3.370040909999988e-5
356224,212.66481,300,5,2.1076444299999938e-5,3.335217560000015e-5
452036,230.23901,200,5,2.438504489999996e-5,3.387809079999998e-5
452036,230.23901,300,5,2.4375750600000048e-5,3.3704652600000137e-5
573615,249.26508,200,5,2.8789532899999988e-5,3.391482269999995e-5
573615,249.26508,300,5,2.8422357699999967e-5,3.305446689999991e-5
727895,269.86353,200,6,3.540889739999987e-5,3.83892283999998e-5
727895,269.86353,300,5,3.430745259999985e-5,3.444775150000002e-5
923670,292.16412,200,6,2.252728150000004e-5,6.024937139999994e-5
923670,292.16412,300,5,4.209363589999976e-5,3.461470059999994e-5
1172100,316.3075,200,6,2.186820849999996e-5,6.356688410000022e-5
1172100,316.3075,300,6,4.8706442199999996e-5,4.6459357000000014e-5
1487352,342.44632,200,6,2.3639227599999982e-5,6.687462310000024e-5
1487352,342.44632,300,6,2.331545949999997e-5,6.587381459999992e-5
1887391,370.74493,200,6,2.6231480499999788e-5,6.518081979999996e-5
1887391,370.74493,300,6,2.603043849999993e-5,6.76617927999997e-5
2395026,401.3821,200,6,2.8958483500000087e-5,6.802868170000026e-5
2395026,401.3821,300,6,3.02217569999999e-5,6.537956999999978e-5
3039195,434.55103,200,6,3.307922459999991e-5,6.91488439999999e-5
3039195,434.55103,300,6,3.3898303300000146e-5,6.805719409999979e-5
3856622,470.461,200,6,3.74737440999999e-5,6.609118699999974e-5
3856622,470.461,300,6,3.6143728200000045e-5,6.54416049e-5
4893900,509.33826,200,7,4.270299040000004e-5,7.037002580000007e-5
4893900,509.33826,300,6,4.370822150000018e-5,6.62426299000005e-5
6210169,551.4283,200,7,5.042672890000028e-5,8.651402329999986e-5
6210169,551.4283,300,6,5.110364390000011e-5,6.795980129999996e-5
7880462,596.9965,200,7,3.1145883499999974e-5,0.00012479285460000026
7880462,596.9965,300,6,5.888007449999999e-5,6.979010450000032e-5
10000000,646.3304,200,7,2.6437288200000053e-5,0.00011383239580000006
10000000,646.3304,300,7,4.9089103500000065e-5,0.0001017597982
