N,L,time_propose,time_accept
10000,64.63304,1.8510255299999905e-5,2.194467000000036e-7
12689,69.972984,1.6864916200000097e-5,4.728409599999989e-6
16102,75.75556,7.736955199999992e-6,9.767881199999976e-6
20433,82.01601,8.73690829999995e-6,9.803154699999936e-6
25929,88.79391,9.957967299999964e-6,9.927918200000015e-6
32903,96.13165,1.116864699999997e-5,9.989285099999976e-6
41753,104.07597,1.2894858800000061e-5,1.0143687600000007e-5
52983,112.67652,1.4989861999999984e-5,1.0165151699999928e-5
67233,121.987526,1.8215789500000034e-5,1.0470071399999963e-5
85316,132.06815,2.296900490000003e-5,1.1782344399999989e-5
108263,142.98196,1.3885850199999924e-5,1.863580490000007e-5
137382,154.79771,1.0469951199999999e-5,2.056483570000008e-5
174332,167.58955,1.1730092500000035e-5,2.0547490900000068e-5
221221,181.43875,1.2794629800000002e-5,1.9796434599999978e-5
280721,196.4323,1.4350428700000034e-5,1.9957352400000042e-5
356224,212.66481,1.669198100000004e-5,2.0998885000000067e-5
452036,230.23901,1.9753927300000064e-5,2.1711239600000043e-5
573615,249.26508,2.3377995099999983e-5,2.1560372900000097e-5
727895,269.86353,2.9450573300000098e-5,2.6652771600000024e-5
923670,292.16412,2.0960025399999967e-5,4.9656568700000016e-5
1172102,316.30768,2.1905529800000008e-5,5.1320327900000165e-5
1487352,342.44632,2.203951770000008e-5,5.188505969999987e-5
1887391,370.74493,2.389300100000001e-5,4.988094039999965e-5
2395026,401.3821,2.5934133899999943e-5,5.280121960000015e-5
3039195,434.55103,3.0409525500000055e-5,5.310728879999973e-5
3856620,470.4609,3.238663990000009e-5,5.337722190000014e-5
4893900,509.33826,3.767616429999985e-5,5.7316606900000075e-5
6210169,551.4283,4.000396410000003e-5,6.941644919999997e-5
7880462,596.9965,2.4683504800000053e-5,9.05395152999995e-5
10000000,646.3304,2.7119447400000046e-5,0.00010948525749999972
