N,L,ns,n_levels,time_propose,time_accept
10000,64.63304,200,13,1.25E-05,2.51E-05
12689,69.972984,200,13,1.36E-05,2.83E-05
16102,75.75556,200,13,1.44E-05,3.11E-05
20433,82.01601,200,14,1.50E-05,3.38E-05
25929,88.79391,200,14,1.53E-05,3.66E-05
32903,96.13165,200,14,1.60E-05,3.89E-05
41753,104.07597,200,14,1.68E-05,4.08E-05
52983,112.67652,200,15,1.78E-05,4.29E-05
67233,121.987526,200,15,1.80E-05,4.60E-05
85316,132.06815,200,15,1.88E-05,4.76E-05
108263,142.98196,200,16,1.98E-05,5.02E-05
137382,154.79771,200,16,2.10E-05,5.41E-05
174332,167.58955,200,16,2.54E-05,6.17E-05
221221,181.43875,200,16,2.81E-05,6.29E-05
280721,196.4323,200,17,2.83E-05,6.44E-05
356224,212.66481,200,17,2.80E-05,6.95E-05
452036,230.23901,200,17,3.08E-05,7.91E-05
573615,249.26508,200,17,3.18E-05,8.33E-05
727895,269.86353,200,18,3.53E-05,9.02E-05
923670,292.16412,200,18,3.73E-05,9.87E-05
1172100,316.3075,200,18,3.62E-05,0.000104101
1487352,342.44632,200,19,3.79E-05,0.00011141
1887392,370.745,200,19,4.02E-05,0.000119151
2395026,401.3821,200,19,3.90E-05,0.000122035
3039196,434.55106,200,20,4.13E-05,0.000126229
3856622,470.461,200,20,4.30E-05,0.00013524
4893900,509.33826,200,20,4.63E-05,0.000145542
6210168,551.4283,200,21,4.90E-05,0.00014816
7880462,596.9965,200,21,4.90E-05,0.000151253
10000000,646.3304,200,21,5.24E-05,0.000156051
