N,L,ns,n_levels,time_propose,time_accept
10000,64.63304,200,3,1.825779669999991e-5,2.2297390000000135e-7
12689,69.972984,200,4,1.7086117599999978e-5,4.864045399999987e-6
16102,75.75556,200,4,8.048167499999973e-6,9.950013700000013e-6
20433,82.01601,200,4,8.957727099999952e-6,9.84159109999994e-6
25929,88.79391,200,4,9.919987099999955e-6,9.958322999999956e-6
32903,96.13165,200,4,1.131353030000001e-5,1.0131139599999898e-5
41753,104.07597,200,4,1.3032547900000043e-5,1.0137163699999993e-5
52983,112.67652,200,4,1.5285667099999986e-5,1.0529191800000016e-5
67233,121.987526,200,4,1.8333981299999987e-5,1.0428162000000009e-5
85316,132.06815,200,5,2.3421352400000038e-5,1.1900339799999996e-5
108263,142.98196,200,5,1.4101899499999956e-5,1.8543967600000034e-5
137382,154.79771,200,5,1.0643854599999922e-5,2.025439509999997e-5
174332,167.58955,200,5,1.1812490799999991e-5,2.0189293399999984e-5
221221,181.43875,200,5,1.3106684800000129e-5,2.0891200200000024e-5
280721,196.4323,200,5,1.4799459400000026e-5,2.0357070400000095e-5
356224,212.66481,200,5,1.7070780400000106e-5,2.1449567799999988e-5
452036,230.23901,200,5,1.970941700000002e-5,2.1635023200000015e-5
573615,249.26508,200,5,2.3961499599999845e-5,2.226709460000004e-5
727895,269.86353,200,6,3.055668819999996e-5,2.5907220800000036e-5
923670,292.16412,200,6,2.138737619999995e-5,4.649594500000015e-5
1172100,316.3075,200,6,2.172109100000006e-5,4.8288960299999936e-5
1487352,342.44632,200,6,2.2198844099999953e-5,4.867544290000029e-5
1887391,370.74493,200,6,2.3767360599999874e-5,5.0222083200000066e-5
2395026,401.3821,200,6,2.6123899599999962e-5,4.9301777299999785e-5
3039195,434.55103,200,6,2.793842599999997e-5,4.940029580000016e-5
3856622,470.461,200,6,3.1852380600000314e-5,4.999253010000015e-5
4893900,509.33826,200,7,3.734787969999989e-5,5.4008430700000196e-5
6210169,551.4283,200,7,3.982325570000008e-5,6.040001450000011e-5
7880462,596.9965,200,7,2.382435410000002e-5,8.637388889999969e-5
10000000,646.3304,200,7,2.8616083100000038e-5,8.771770720000003e-5
