step_n,E_lj,E_elec,E_total
100,1.239940430114184 kJ mol^-1,-377.4135171392123 kJ mol^-1,-376.1735767090981 kJ mol^-1
200,8.596735445653442 kJ mol^-1,-398.03493276531015 kJ mol^-1,-389.4381973196567 kJ mol^-1
300,8.568669968426843 kJ mol^-1,-430.62656381800616 kJ mol^-1,-422.05789384957933 kJ mol^-1
400,13.253341026696996 kJ mol^-1,-470.1142880014806 kJ mol^-1,-456.8609469747836 kJ mol^-1
500,16.03946685567438 kJ mol^-1,-485.30867276070524 kJ mol^-1,-469.26920590503084 kJ mol^-1
600,1.8970377060402521 kJ mol^-1,-503.0065653533443 kJ mol^-1,-501.10952764730405 kJ mol^-1
700,1.0944325930532277 kJ mol^-1,-531.5524071089609 kJ mol^-1,-530.4579745159076 kJ mol^-1
800,4.164345575414777 kJ mol^-1,-549.5372409876231 kJ mol^-1,-545.3728954122083 kJ mol^-1
900,5.796542348667675 kJ mol^-1,-567.1014138636187 kJ mol^-1,-561.3048715149511 kJ mol^-1
1000,1.5983429675279588 kJ mol^-1,-577.4486239179978 kJ mol^-1,-575.8502809504698 kJ mol^-1
1100,-0.5544009550555931 kJ mol^-1,-594.2344995781734 kJ mol^-1,-594.788900533229 kJ mol^-1
1200,0.5208490049672474 kJ mol^-1,-606.5904797155131 kJ mol^-1,-606.0696307105459 kJ mol^-1
1300,0.3777233764446458 kJ mol^-1,-617.3600252805428 kJ mol^-1,-616.9823019040981 kJ mol^-1
1400,0.026593710803972635 kJ mol^-1,-623.3871194835265 kJ mol^-1,-623.3605257727226 kJ mol^-1
1500,-1.4942846437497903 kJ mol^-1,-627.6061925967758 kJ mol^-1,-629.1004772405256 kJ mol^-1
1600,2.361653920928731 kJ mol^-1,-657.9848027214923 kJ mol^-1,-655.6231488005636 kJ mol^-1
1700,4.80693592701059 kJ mol^-1,-664.164168530805 kJ mol^-1,-659.3572326037944 kJ mol^-1
1800,-0.254618759043371 kJ mol^-1,-683.3124990756927 kJ mol^-1,-683.5671178347361 kJ mol^-1
1900,0.44866857307662905 kJ mol^-1,-684.7302115380909 kJ mol^-1,-684.2815429650143 kJ mol^-1
2000,-2.9670865782314277 kJ mol^-1,-695.3140824776157 kJ mol^-1,-698.281169055847 kJ mol^-1
2100,-2.7045088281585925 kJ mol^-1,-714.7966761845521 kJ mol^-1,-717.5011850127107 kJ mol^-1
2200,14.139386957351217 kJ mol^-1,-741.4326467118574 kJ mol^-1,-727.2932597545062 kJ mol^-1
2300,12.02859300766112 kJ mol^-1,-771.6035568199629 kJ mol^-1,-759.5749638123018 kJ mol^-1
2400,16.68624318437657 kJ mol^-1,-794.1104487646236 kJ mol^-1,-777.424205580247 kJ mol^-1
