step_n,E_lj,E_elec,E_total
100,-2.6616353021489423,-23778.126285207578,-23780.787920509727
200,-2.976850793722266,-23808.591869595737,-23811.56872038946
300,-2.087131645865417,-23859.290349352155,-23861.37748099802
400,-2.355934055852326,-24011.37858675593,-24013.734520811784
500,-2.97121256326034,-24102.63388046167,-24105.605093024933
600,-1.988913395386221,-24154.747745419547,-24156.736658814934
700,-2.5988939010328282,-24249.701155788494,-24252.300049689526
800,-4.432070548932902,-24655.539273142072,-24659.971343691006
900,-4.408819849899501,-24719.792760424025,-24724.201580273926
1000,-4.254656337634221,-24853.02997924424,-24857.284635581873
1100,-4.419821886256877,-24941.913045868296,-24946.332867754554
1200,-3.7148246127567512,-25027.598507343188,-25031.313331955946
1300,-4.275899965922309,-25169.542060322834,-25173.817960288758
1400,-4.20585983864283,-25292.747465756976,-25296.95332559562
1500,-0.8387260384295739,-25347.281762811854,-25348.120488850283
1600,3.153480008175369,-25421.498815373667,-25418.34533536549
1700,2.0016946972495018,-25647.798537203184,-25645.796842505933
1800,2.1240416556231185,-25746.14937302893,-25744.025331373305
1900,2.013498633217914,-25851.912775603643,-25849.899276970424
2000,-1.3733766405523224,-25929.396984026615,-25930.770360667168
2100,0.46893239754690175,-26032.01680243084,-26031.547870033293
2200,-3.4885899228813746,-26150.477157470337,-26153.96574739322
2300,-4.957499182807554,-26290.576041625227,-26295.533540808035
2400,-5.029954912355687,-26337.716490700233,-26342.74644561259
2500,5.939704310281556,-26417.207216995506,-26411.267512685226
2600,5.201576637920391,-26487.678854013695,-26482.477277375776
2700,-5.703511268951525,-26590.718658866987,-26596.42217013594
2800,0.31498584973631627,-26737.5785295345,-26737.263543684767
2900,-4.52560909890795,-26811.754184797297,-26816.279793896207
3000,-4.693571199847615,-26900.023704027655,-26904.717275227504
3100,-3.9260013198016974,-27002.88034990021,-27006.80635122001
3200,-4.587076972928618,-27152.396013213518,-27156.983090186448
3300,-4.770242123691325,-27196.203426751366,-27200.973668875056
3400,-4.740837800150133,-27300.843760809516,-27305.584598609665
3500,-4.450153331587434,-27483.561187783223,-27488.011341114812
3600,-1.9526604737145894,-27595.131136116815,-27597.08379659053
3700,-2.894859322826069,-27663.065754205338,-27665.960613528165
3800,-3.1720550999274026,-27692.115932360448,-27695.287987460375
3900,0.5758325476310232,-27777.97317011932,-27777.39733757169
4000,0.5095673116651209,-27874.454938871673,-27873.945371560007
